cluster	n_genomes	n_proximal	selected	freq	prox_frac	is_associated
amyA	30	0	True	0.1820987654320987	0.0	False
cadX	224	9	False	0.8425925925925926	0.04017857142857143	False
cas1	111	3	False	0.4598765432098765	0.02702702702702703	False
cas1c	84	0	False	0.4907407407407407	0.0	False
cas2	111	0	False	0.5154320987654321	0.0	False
cas3	103	6	False	0.4537037037037037	0.05825242718446602	False
cas4	102	0	False	0.5	0.0	False
cas5c	112	0	False	0.5061728395061729	0.0	False
cas7c	112	0	False	0.4938271604938271	0.0	False
cas8c	109	0	False	0.4938271604938271	0.0	False
cas9	117	4	False	0.4598765432098765	0.03418803418803419	False
csn2	120	5	False	0.4660493827160494	0.041666666666666664	False
eda	118	0	False	0.3796296296296296	0.0	False
emm	84	6	False	0.3549382716049383	0.07142857142857142	False
endoS	107	43	False	0.8796296296296297	0.40186915887850466	False
enn	145	1	False	0.691358024691358	0.006896551724137931	False
fbaB	37	0	False	0.1790123456790123	0.0	False
fbpA	193	22	False	0.8858024691358025	0.11398963730569948	False
folB	211	0	False	0.9382716049382716	0.0	False
folE	238	0	False	0.9382716049382716	0.0	False
ftcD	204	0	False	0.8518518518518519	0.0	False
glmS	254	2	False	0.941358024691358	0.007874015748031496	False
grab	127	3	False	0.845679012345679	0.023622047244094488	False
group_1004	162	0	False	0.6419753086419753	0.0	False
group_1013	86	7	False	0.3487654320987654	0.08139534883720931	False
group_1020	90	0	False	0.3796296296296296	0.0	False
group_1028	18	0	False	0.2253086419753086	0.0	False
group_1032	63	0	False	0.2407407407407407	0.0	False
group_1055	102	0	False	0.4166666666666667	0.0	False
group_1058	40	3	False	0.1790123456790123	0.075	False
group_1062	37	1	False	0.2191358024691358	0.02702702702702703	False
group_1072	71	4	False	0.2962962962962963	0.056338028169014086	False
group_1077	46	0	False	0.2345679012345679	0.0	False
group_1086	118	0	False	0.3796296296296296	0.0	False
group_1095	384	370	False	0.8425925925925926	0.9635416666666666	True
group_1099	218	0	False	0.910493827160494	0.0	False
group_1102	56	4	False	0.2253086419753086	0.07142857142857142	False
group_1105	4	0	False	0.1882716049382716	0.0	False
group_1108	37	0	False	0.25	0.0	False
group_1109	31	0	False	0.1759259259259259	0.0	False
group_1114	55	0	False	0.2253086419753086	0.0	False
group_1117	74	1	False	0.3580246913580246	0.013513513513513514	False
group_1120	73	57	False	0.2777777777777778	0.7808219178082192	True
group_1122	58	0	False	0.2160493827160493	0.0	False
group_1123	204	2	False	0.8209876543209876	0.00980392156862745	False
group_1128	39	1	False	0.1604938271604938	0.02564102564102564	False
group_1132	90	0	False	0.7962962962962963	0.0	False
group_1134	12	0	False	0.2407407407407407	0.0	False
group_1138	12	0	False	0.2037037037037037	0.0	False
group_1139	30	1	False	0.1666666666666666	0.03333333333333333	False
group_1152	2	0	False	0.1666666666666666	0.0	False
group_1160	54	0	False	0.2469135802469135	0.0	False
group_1161	89	0	False	0.382716049382716	0.0	False
group_1175	177	5	False	0.6882716049382716	0.02824858757062147	False
group_1176	103	0	False	0.4660493827160494	0.0	False
group_1185	136	0	False	0.6141975308641975	0.0	False
group_1188	257	182	True	0.8518518518518519	0.708171206225681	True
group_1192	39	1	False	0.1759259259259259	0.02564102564102564	False
group_1194	208	39	False	0.8858024691358025	0.1875	False
group_1195	36	0	False	0.287037037037037	0.0	False
group_1201	62	3	False	0.25	0.04838709677419355	False
group_1210	11	0	False	0.2407407407407407	0.0	False
group_1213	27	4	False	0.1635802469135802	0.14814814814814814	False
group_1215	27	0	False	0.2160493827160493	0.0	False
group_1231	29	0	False	0.1604938271604938	0.0	False
group_1235	54	53	True	0.1635802469135802	0.9814814814814815	True
group_1237	37	0	False	0.2129629629629629	0.0	False
group_1238	27	0	False	0.1697530864197531	0.0	False
group_1246	83	0	False	0.2746913580246913	0.0	False
group_1251	33	0	False	0.1697530864197531	0.0	False
group_1255	137	67	False	0.4598765432098765	0.48905109489051096	False
group_1258	10	0	False	0.1975308641975308	0.0	False
group_126	27	0	False	0.1574074074074074	0.0	False
