genome	cluster	freq	selected	flanked	dist_IS
GCA_011290585.1	group_5495	0.009259259259259259	False	False	136652.0
GCA_011290585.1	group_5497	0.021604938271604937	False	False	135783.0
GCA_011290585.1	group_5496	0.021604938271604937	False	False	134564.0
GCA_011290585.1	group_5498	0.021604938271604937	False	False	134207.0
GCA_011290585.1	group_5499	0.021604938271604937	False	False	133151.0
GCA_011290585.1	group_5500	0.021604938271604937	False	False	132308.0
GCA_011290585.1	group_5502	0.021604938271604937	False	False	131848.0
GCA_011290585.1	group_5503	0.021604938271604937	False	False	130593.0
GCA_011290585.1	group_5504	0.021604938271604937	False	False	130131.0
GCA_011290585.1	group_5505	0.027777777777777776	False	False	128547.0
GCA_011290585.1	group_5506	0.027777777777777776	False	False	126594.0
GCA_011290585.1	group_5507	0.027777777777777776	False	False	124502.0
GCA_011290585.1	group_5508	0.027777777777777776	False	False	123912.0
GCA_011290585.1	group_5509	0.024691358024691357	False	False	122378.0
GCA_011290585.1	group_5510	0.024691358024691357	False	False	119065.0
GCA_011290585.1	group_0	0.021604938271604937	False	False	112170.0
GCA_011290585.1	group_5512	0.033950617283950615	False	False	111144.0
GCA_011290585.1	group_5513	0.037037037037037035	False	False	109972.0
GCA_011290585.1	group_5515	0.037037037037037035	False	False	108917.0
GCA_011290585.1	group_5516	0.037037037037037035	False	False	107539.0
GCA_011290585.1	group_5517	0.037037037037037035	False	False	106893.0
GCA_011290585.1	group_5514	0.037037037037037035	False	False	106213.0
GCA_011290585.1	group_5518	0.037037037037037035	False	False	105267.0
GCA_011290585.1	group_5783	0.037037037037037035	False	False	104131.0
GCA_011290585.1	group_5784	0.033950617283950615	False	False	103016.0
GCA_011290585.1	group_2651	0.06481481481481481	False	False	96783.0
GCA_011290585.1	group_89	0.06481481481481481	False	False	95747.0
GCA_011290585.1	group_91	0.07098765432098765	False	False	95157.0
GCA_011290585.1	atpB	0.07098765432098765	False	False	94406.0
GCA_011290585.1	group_3291	0.15432098765432098	False	False	88946.0
GCA_011290585.1	group_4082	0.5154320987654321	False	False	86320.0
GCA_011290585.1	group_3192	0.9475308641975309	False	False	208.0
GCA_011290585.1	ideS	0.4166666666666667	False	False	593.0
GCA_011290585.1	group_3165	0.8734567901234568	False	False	79245.0
GCA_011290585.1	group_848	0.654320987654321	True	False	87822.0
GCA_011290585.1	group_3468	0.0030864197530864196	False	False	100925.0
GCA_011290585.1	group_3354	0.6604938271604939	False	False	109344.0
GCA_011290585.1	slc2	0.941358024691358	False	False	111364.0
GCA_011290585.1	group_1382	0.6882716049382716	False	False	132718.0
GCA_011290585.1	group_3001	0.691358024691358	False	False	133397.0
GCA_011290585.1	group_1924	0.6944444444444444	False	False	134891.0
GCA_011290585.1	group_3909	0.5308641975308642	False	False	135146.0
